Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.793,0.79729,0.793,0.79347
Naive Bayes Scikit,0.793,0.79729,0.793,0.79347
Decision Tree,0.567,0.57109,0.567,0.56778
Decision Tree Scikit,0.592,0.59384,0.592,0.5919
MLP,0.782,0.78116,0.782,0.78094
